項次,西元年,民國年,性別,年齡,死亡機率
509,2025,114,男性,68歲,0.01801
510,2025,114,女性,68歲,0.00865
511,2025,114,總計,69歲,0.01434
512,2025,114,男性,69歲,0.01969
513,2025,114,女性,69歲,0.00969
514,2025,114,總計,70歲,0.01581
515,2025,114,男性,70歲,0.02155
516,2025,114,女性,70歲,0.01087
517,2025,114,總計,71歲,0.01744
518,2025,114,男性,71歲,0.02361
519,2025,114,女性,71歲,0.01219
520,2025,114,總計,72歲,0.01924
521,2025,114,男性,72歲,0.02588
522,2025,114,女性,72歲,0.01366
523,2025,114,總計,73歲,0.02125
524,2025,114,男性,73歲,0.02843
525,2025,114,女性,73歲,0.01529
526,2025,114,總計,74歲,0.0235
527,2025,114,男性,74歲,0.03129
528,2025,114,女性,74歲,0.01713
529,2025,114,總計,75歲,0.02597
530,2025,114,男性,75歲,0.03441
531,2025,114,女性,75歲,0.01915
532,2025,114,總計,76歲,0.02865
533,2025,114,男性,76歲,0.03781
534,2025,114,女性,76歲,0.02137
535,2025,114,總計,77歲,0.0316
536,2025,114,男性,77歲,0.04151
537,2025,114,女性,77歲,0.02386
538,2025,114,總計,78歲,0.03487
539,2025,114,男性,78歲,0.04559
540,2025,114,女性,78歲,0.02664
541,2025,114,總計,79歲,0.03848
542,2025,114,男性,79歲,0.05002
543,2025,114,女性,79歲,0.02981
544,2025,114,總計,80歲,0.04258
545,2025,114,男性,80歲,0.05477
546,2025,114,女性,80歲,0.03361
547,2025,114,總計,81歲,0.0471
548,2025,114,男性,81歲,0.05998
549,2025,114,女性,81歲,0.03782
550,2025,114,總計,82歲,0.05203
551,2025,114,男性,82歲,0.06561
552,2025,114,女性,82歲,0.04248
553,2025,114,總計,83歲,0.05739
554,2025,114,男性,83歲,0.07166
555,2025,114,女性,83歲,0.04759
556,2025,114,總計,84歲,0.06288
557,2025,114,男性,84歲,0.07815
558,2025,114,女性,84歲,0.05267
559,2025,114,總計,85歲,0.07024
560,2025,114,男性,85歲,0.08595
561,2025,114,女性,85歲,0.06
562,2025,114,總計,86歲,0.07707
563,2025,114,男性,86歲,0.09346
564,2025,114,女性,86歲,0.06669
565,2025,114,總計,87歲,0.08445
566,2025,114,男性,87歲,0.10154
567,2025,114,女性,87歲,0.07394
568,2025,114,總計,88歲,0.0924
569,2025,114,男性,88歲,0.11015
570,2025,114,女性,88歲,0.08181
571,2025,114,總計,89歲,0.10097
572,2025,114,男性,89歲,0.11933
573,2025,114,女性,89歲,0.09034
574,2025,114,總計,90歲,0.11026
575,2025,114,男性,90歲,0.12917
576,2025,114,女性,90歲,0.09967
577,2025,114,總計,91歲,0.12034
578,2025,114,男性,91歲,0.13966
579,2025,114,女性,91歲,0.10987
580,2025,114,總計,92歲,0.13118
581,2025,114,男性,92歲,0.15074
582,2025,114,女性,92歲,0.12094
583,2025,114,總計,93歲,0.14281
584,2025,114,男性,93歲,0.16245
585,2025,114,女性,93歲,0.13289
586,2025,114,總計,94歲,0.15521
587,2025,114,男性,94歲,0.17478
588,2025,114,女性,94歲,0.14565
589,2025,114,總計,95歲,0.16869
590,2025,114,男性,95歲,0.18802
591,2025,114,女性,95歲,0.15958
592,2025,114,總計,96歲,0.1827
593,2025,114,男性,96歲,0.20145
594,2025,114,女性,96歲,0.17416
595,2025,114,總計,97歲,0.19733
596,2025,114,男性,97歲,0.21529
597,2025,114,女性,97歲,0.18941
598,2025,114,總計,98歲,0.21278
599,2025,114,男性,98歲,0.22989
600,2025,114,女性,98歲,0.20548
601,2025,114,總計,99歲,0.22923
602,2025,114,男性,99歲,0.24478
603,2025,114,女性,99歲,0.2228
604,2025,114,總計,100歲及以上,1
605,2025,114,男性,100歲及以上,1
606,2025,114,女性,100歲及以上,1
607,2026,115,總計,0歲,0.00361
608,2026,115,男性,0歲,0.00386
609,2026,115,女性,0歲,0.00336
610,2026,115,總計,1歲,0.00024
611,2026,115,男性,1歲,0.00027
612,2026,115,女性,1歲,0.00021
613,2026,115,總計,2歲,0.00016
614,2026,115,男性,2歲,0.00017
615,2026,115,女性,2歲,0.00015
616,2026,115,總計,3歲,0.00012
617,2026,115,男性,3歲,0.00014
618,2026,115,女性,3歲,0.00011
619,2026,115,總計,4歲,0.0001
620,2026,115,男性,4歲,0.00011
621,2026,115,女性,4歲,9E-05
622,2026,115,總計,5歲,9E-05
623,2026,115,男性,5歲,0.0001
624,2026,115,女性,5歲,9E-05
625,2026,115,總計,6歲,9E-05
626,2026,115,男性,6歲,9E-05
627,2026,115,女性,6歲,8E-05
628,2026,115,總計,7歲,8E-05
629,2026,115,男性,7歲,9E-05
630,2026,115,女性,7歲,8E-05
631,2026,115,總計,8歲,8E-05
632,2026,115,男性,8歲,8E-05
633,2026,115,女性,8歲,8E-05
634,2026,115,總計,9歲,8E-05
635,2026,115,男性,9歲,8E-05
636,2026,115,女性,9歲,7E-05
637,2026,115,總計,10歲,8E-05
638,2026,115,男性,10歲,8E-05
639,2026,115,女性,10歲,8E-05
640,2026,115,總計,11歲,9E-05
641,2026,115,男性,11歲,9E-05
642,2026,115,女性,11歲,9E-05
643,2026,115,總計,12歲,0.00011
644,2026,115,男性,12歲,0.00011
645,2026,115,女性,12歲,0.0001
646,2026,115,總計,13歲,0.00013
647,2026,115,男性,13歲,0.00015
648,2026,115,女性,13歲,0.00012
649,2026,115,總計,14歲,0.00017
650,2026,115,男性,14歲,0.00021
651,2026,115,女性,14歲,0.00013
652,2026,115,總計,15歲,0.00021
653,2026,115,男性,15歲,0.00028
654,2026,115,女性,15歲,0.00014
655,2026,115,總計,16歲,0.00026
656,2026,115,男性,16歲,0.00036
657,2026,115,女性,16歲,0.00016
658,2026,115,總計,17歲,0.0003
659,2026,115,男性,17歲,0.00043
660,2026,115,女性,17歲,0.00018
661,2026,115,總計,18歲,0.00035
662,2026,115,男性,18歲,0.0005
663,2026,115,女性,18歲,0.0002
664,2026,115,總計,19歲,0.00037
665,2026,115,男性,19歲,0.00053
666,2026,115,女性,19歲,0.00022
667,2026,115,總計,20歲,0.00039
668,2026,115,男性,20歲,0.00054
669,2026,115,女性,20歲,0.00023
670,2026,115,總計,21歲,0.0004
671,2026,115,男性,21歲,0.00055
672,2026,115,女性,21歲,0.00024
673,2026,115,總計,22歲,0.0004
674,2026,115,男性,22歲,0.00056
675,2026,115,女性,22歲,0.00025
676,2026,115,總計,23歲,0.00041
677,2026,115,男性,23歲,0.00056
678,2026,115,女性,23歲,0.00026
679,2026,115,總計,24歲,0.00041
680,2026,115,男性,24歲,0.00056
681,2026,115,女性,24歲,0.00027
682,2026,115,總計,25歲,0.00041
683,2026,115,男性,25歲,0.00055
684,2026,115,女性,25歲,0.00027
685,2026,115,總計,26歲,0.00041
686,2026,115,男性,26歲,0.00054
687,2026,115,女性,26歲,0.00029
688,2026,115,總計,27歲,0.00043
689,2026,115,男性,27歲,0.00055
690,2026,115,女性,27歲,0.00031
691,2026,115,總計,28歲,0.00045
692,2026,115,男性,28歲,0.00058
693,2026,115,女性,28歲,0.00033
694,2026,115,總計,29歲,0.00049
695,2026,115,男性,29歲,0.00063
696,2026,115,女性,29歲,0.00035
697,2026,115,總計,30歲,0.00053
698,2026,115,男性,30歲,0.00068
699,2026,115,女性,30歲,0.00038
700,2026,115,總計,31歲,0.00058
701,2026,115,男性,31歲,0.00075
702,2026,115,女性,31歲,0.00041
703,2026,115,總計,32歲,0.00064
704,2026,115,男性,32歲,0.00084
705,2026,115,女性,32歲,0.00045
706,2026,115,總計,33歲,0.0007
707,2026,115,男性,33歲,0.00092
708,2026,115,女性,33歲,0.00048
709,2026,115,總計,34歲,0.00076
710,2026,115,男性,34歲,0.00101
711,2026,115,女性,34歲,0.00051
712,2026,115,總計,35歲,0.00084
713,2026,115,男性,35歲,0.00112
714,2026,115,女性,35歲,0.00055
715,2026,115,總計,36歲,0.00092
716,2026,115,男性,36歲,0.00125
717,2026,115,女性,36歲,0.00059
718,2026,115,總計,37歲,0.00102
719,2026,115,男性,37歲,0.0014
720,2026,115,女性,37歲,0.00064
721,2026,115,總計,38歲,0.00112
722,2026,115,男性,38歲,0.00156
723,2026,115,女性,38歲,0.00069
724,2026,115,總計,39歲,0.00124
725,2026,115,男性,39歲,0.00174
726,2026,115,女性,39歲,0.00075
727,2026,115,總計,40歲,0.00137
728,2026,115,男性,40歲,0.00193
729,2026,115,女性,40歲,0.00081
730,2026,115,總計,41歲,0.00151
