git年份,性別,縣市,癌症類別,發生率,癌症發生數,平均年齡,年齡中位數,粗率 (每10萬人口)
2018,女,台北市,卵巢、輸卵管及寬韌帶,9.17,197 ,56.93,56.0,14.12
2018,女,台北市,其他女性生殖器官,0.92,23 ,63.3,61.0,1.65
2018,女,台北市,膀胱,2.43,74 ,72.93,75.0,5.3
2018,女,台北市,腎,2.67,61 ,60.72,65.0,4.37
2018,女,台北市,腎盂及其他泌尿系統,2.94,91 ,74.47,76.0,6.52
2018,女,台北市,眼及淚腺,0.08,2 ,60.0,60.0,0.14
2018,女,台北市,腦,1.54,29 ,56.86,64.0,2.08
2018,女,台北市,其他神經系統,0.25,3 ,38.67,46.0,0.22
2018,女,台北市,甲狀腺,20.13,374 ,50.12,51.0,26.81
2018,女,台北市,其他內分泌腺,0.97,16 ,46.13,55.5,1.15
2018,女,台北市,不明原發部位,1.46,45 ,74.78,79.0,3.23
2018,女,台北市,何杰金氏淋巴瘤,1.59,20 ,38.85,32.0,1.43
2018,女,台北市,白血病,7.14,147 ,59.15,64.0,10.54
2018,女,台北市,非何杰金氏淋巴瘤,6.47,165 ,65.4,66.0,11.83
2018,女,台北市,漿細胞瘤,1.68,46 ,68.91,70.0,3.3
2018,女,台北市,全癌症,299.44,"7,209 ",62.44,62.0,516.7
2018,女,新北市,口腔、口咽及下咽,4.06,136 ,62.18,60.5,6.66
2018,女,新北市,主唾液腺,0.63,19 ,56.05,53.0,0.93
2018,女,新北市,鼻咽,2.7,79 ,52.3,53.0,3.87
2018,女,新北市,食道,0.86,31 ,66.77,64.0,1.52
2018,女,新北市,胃,8.38,289 ,67.35,67.0,14.16
2018,女,新北市,小腸,0.82,27 ,62.63,63.0,1.32
2018,女,新北市,結直腸,33.92,"1,159 ",65.03,65.0,56.79
2018,女,新北市,肝及肝內膽管,13.1,464 ,70.11,70.0,22.74
2018,女,新北市,膽囊及肝外膽管,2.63,94 ,69.19,68.5,4.61
2018,女,新北市,胰,6.18,216 ,67.58,68.0,10.58
2018,女,新北市,後腹膜腔及腹膜,1.8,55 ,61.51,63.0,2.7
2018,女,新北市,消化器官其他分界不明部位,0.06,2 ,72.5,72.5,0.1
2018,女,新北市,鼻腔、中耳及副鼻竇,0.64,19 ,61.26,66.0,0.93
2018,女,新北市,喉,0.23,8 ,61.88,61.0,0.39
2018,女,新北市,肺、支氣管及氣管,37.78,"1,307 ",64.37,64.0,64.05
2018,女,新北市,胸膜,0.08,3 ,77.67,83.0,0.15
2018,女,新北市,胸腺、心臟與中隔,1.38,44 ,58.2,60.5,2.16
2018,女,新北市,骨、關節及關節軟骨,0.43,10 ,47.7,52.0,0.49
2018,女,新北市,結締組織、皮下組織及其他軟組織,1.88,54 ,56.81,58.0,2.65
2018,女,新北市,皮膚,7.22,252 ,71.41,74.0,12.35
2018,女,新北市,女性乳房,87.99,"2,792 ",55.84,55.0,136.81
2018,女,新北市,子宮,0.02,1 ,64.0,64.0,0.05
2018,女,新北市,子宮頸,8.09,250 ,57.72,56.5,12.25
2018,女,新北市,子宮體,17.68,569 ,56.07,56.0,27.88
2018,女,新北市,卵巢、輸卵管及寬韌帶,10.06,299 ,53.05,54.0,14.65
2018,女,新北市,其他女性生殖器官,0.8,28 ,66.79,68.0,1.37
2018,女,新北市,膀胱,3.41,120 ,71.08,71.5,5.88
2018,女,新北市,腎,3.14,98 ,57.94,58.0,4.8
2018,女,新北市,腎盂及其他泌尿系統,3.41,120 ,72.16,73.0,5.88
2018,女,新北市,眼及淚腺,0.32,7 ,41.29,49.0,0.34
2018,女,新北市,腦,2.54,64 ,51.2,52.5,3.14
2018,女,新北市,其他神經系統,0.22,7 ,63.0,64.0,0.34
2018,女,新北市,甲狀腺,21.58,593 ,48.74,49.0,29.06
2018,女,新北市,其他內分泌腺,0.83,21 ,47.9,53.0,1.03
2018,女,新北市,其他分界不明的部位,0.14,4 ,56.5,60.0,0.2
2018,女,新北市,不明原發部位,1.05,39 ,73.28,70.0,1.91
2018,女,新北市,何杰金氏淋巴瘤,0.66,13 ,36.62,37.0,0.64
2018,女,新北市,白血病,7.26,204 ,56.01,59.5,10.0
