diagnosis_year,gender,city,cancer_type,age_standardized_incidence_rate,cancer_cases,average_age,median_age,crude_rate
1983年,女,台北市,全癌症,198.89,1578,54.35,56.0,135.72
1984年,男,台北市,口腔、口咽及下咽,6.59,67,52.9,54.0,5.34
1984年,男,台北市,主唾液腺,0.39,5,49.4,63.0,0.4
1984年,男,台北市,鼻咽,9.6,102,48.27,49.0,8.14
1984年,男,台北市,食道,6.18,62,63.53,63.0,4.95
1984年,男,台北市,胃,55.11,523,63.06,64.0,41.72
1984年,男,台北市,小腸,0.99,9,63.56,60.0,0.72
1984年,男,台北市,結直腸,23.52,231,61.87,63.0,18.43
1984年,男,台北市,肝及肝內膽管,29.95,311,55.8,56.0,24.81
1984年,男,台北市,膽囊及肝外膽管,1.65,14,61.57,65.5,1.12
1984年,男,台北市,胰,4.66,46,62.83,61.5,3.67
1984年,男,台北市,後腹膜腔及腹膜,0.27,3,37.0,48.0,0.24
1984年,男,台北市,消化器官其他分界不明部位,0.28,3,60.0,64.0,0.24
1984年,男,台北市,鼻腔、中耳及副鼻竇,1.29,12,52.75,49.0,0.96
1984年,男,台北市,喉,2.46,27,61.3,62.0,2.15
1984年,男,台北市,肺、支氣管及氣管,34.07,312,64.85,65.0,24.89
1984年,男,台北市,胸膜,0.08,1,61.0,61.0,0.08
1984年,男,台北市,胸腺、心臟與中隔,0.2,3,22.0,25.0,0.24
1984年,男,台北市,骨、關節及關節軟骨,0.93,12,32.75,20.0,0.96
1984年,男,台北市,結締組織、皮下組織及其他軟組織,1.2,13,46.46,52.0,1.04
1984年,男,台北市,皮膚,3.96,38,61.39,63.0,3.03
1984年,男,台北市,男性乳房,0.19,2,66.0,66.0,0.16
1984年,男,台北市,攝護腺,7.99,61,68.98,70.0,4.87
1984年,男,台北市,睪丸,0.53,7,22.43,20.0,0.56
1984年,男,台北市,其他男性生殖器官,0.51,5,50.2,54.0,0.4
1984年,男,台北市,膀胱,6.66,65,62.37,64.0,5.18
1984年,男,台北市,腎,1.39,14,60.93,64.0,1.12
1984年,男,台北市,腎盂及其他泌尿系統,1.69,18,60.56,60.5,1.44
1984年,男,台北市,眼及淚腺,0.08,1,4.0,4.0,0.08
1984年,男,台北市,腦,1.7,20,48.2,56.5,1.6
1984年,男,台北市,其他神經系統,0.18,2,56.0,56.0,0.16
1984年,男,台北市,甲狀腺,0.82,10,44.9,49.0,0.8
1984年,男,台北市,其他內分泌腺,0.23,3,23.33,10.0,0.24
1984年,男,台北市,其他分界不明的部位,0.46,3,63.33,77.0,0.24
1984年,男,台北市,不明原發部位,0.46,5,62.8,60.0,0.4
1984年,男,台北市,何杰金氏淋巴瘤,0.47,4,61.0,63.0,0.32
1984年,男,台北市,白血病,4.68,55,30.53,30.0,4.39
1984年,男,台北市,非何杰金氏淋巴瘤,1.24,13,56.38,63.0,1.04
1984年,男,台北市,漿細胞瘤,0.1,1,68.0,68.0,0.08
1984年,男,台北市,全癌症,216.21,2118,59.1,62.0,168.95
1984年,女,台北市,口腔、口咽及下咽,1.28,12,51.83,52.5,1.0
1984年,女,台北市,主唾液腺,0.54,6,36.33,30.0,0.5
1984年,女,台北市,鼻咽,3.6,36,44.64,43.0,3.01
1984年,女,台北市,食道,1.49,11,65.82,68.0,0.92
1984年,女,台北市,胃,33.62,263,59.72,62.0,21.99
1984年,女,台北市,小腸,0.7,6,53.83,49.0,0.5
1984年,女,台北市,結直腸,20.96,165,59.73,60.0,13.8
1984年,女,台北市,肝及肝內膽管,8.18,65,57.77,63.0,5.43
1984年,女,台北市,膽囊及肝外膽管,2.44,18,61.39,59.0,1.5
1984年,女,台北市,胰,3.0,21,66.57,66.0,1.76
1984年,女,台北市,後腹膜腔及腹膜,0.5,5,35.8,40.0,0.42
1984年,女,台北市,消化器官其他分界不明部位,0.12,1,55.0,55.0,0.08
1984年,女,台北市,鼻腔、中耳及副鼻竇,0.12,1,58.0,58.0,0.08
1984年,女,台北市,喉,0.12,1,51.0,51.0,0.08
1984年,女,台北市,肺、支氣管及氣管,14.67,112,61.22,63.0,9.36
1984年,女,台北市,胸膜,0.12,1,56.0,56.0,0.08
1984年,女,台北市,胸腺、心臟與中隔,0.23,3,32.33,34.0,0.25
1984年,女,台北市,骨、關節及關節軟骨,0.25,3,32.33,30.0,0.25
1984年,女,台北市,結締組織、皮下組織及其他軟組織,0.96,9,48.89,55.0,0.75
1984年,女,台北市,皮膚,2.55,20,55.1,57.5,1.67
1984年,女,台北市,女性乳房,25.05,234,49.38,47.0,19.56
1984年,女,台北市,子宮,0.4,3,68.0,72.0,0.25
1984年,女,台北市,子宮頸,34.18,299,53.07,53.0,25.0
1984年,女,台北市,子宮體,1.89,14,60.86,56.5,1.17
1984年,女,台北市,卵巢、輸卵管及寬韌帶,4.81,42,53.79,53.5,3.51
1984年,女,台北市,其他女性生殖器官,0.92,8,52.13,51.5,0.67
1984年,女,台北市,膀胱,3.11,23,64.0,66.0,1.92
1984年,女,台北市,腎,0.84,7,51.86,58.0,0.59
1984年,女,台北市,腎盂及其他泌尿系統,1.89,14,62.57,62.5,1.17
1984年,女,台北市,眼及淚腺,0.09,1,0.0,0.0,0.08
1984年,女,台北市,腦,1.59,18,32.61,30.5,1.5
1984年,女,台北市,其他神經系統,0.18,2,44.0,44.0,0.17
1984年,女,台北市,甲狀腺,3.64,37,42.16,40.0,3.09
1984年,女,台北市,其他內分泌腺,0.18,2,21.5,21.5,0.17
1984年,女,台北市,其他分界不明的部位,0.14,1,72.0,72.0,0.08
1984年,女,台北市,不明原發部位,0.74,7,47.71,56.0,0.59
1984年,女,台北市,何杰金氏淋巴瘤,0.31,3,44.67,50.0,0.25
1984年,女,台北市,白血病,2.58,25,35.8,37.0,2.09
1984年,女,台北市,非何杰金氏淋巴瘤,1.1,9,52.67,58.0,0.75
1984年,女,台北市,漿細胞瘤,0.93,8,55.88,59.5,0.67
1984年,女,台北市,全癌症,182.99,1541,54.53,57.0,128.84
1985年,男,台北市,口腔、口咽及下咽,4.39,46,53.13,50.0,3.59
1985年,男,台北市,主唾液腺,0.64,8,59.38,62.0,0.62
1985年,男,台北市,鼻咽,8.25,95,48.46,50.0,7.42
1985年,男,台北市,食道,4.88,53,64.68,64.0,4.14
1985年,男,台北市,胃,56.81,542,64.42,65.0,42.33
1985年,男,台北市,小腸,0.73,7,58.86,63.0,0.55
1985年,男,台北市,結直腸,23.98,240,61.39,62.5,18.74
1985年,男,台北市,肝及肝內膽管,32.09,341,57.41,58.0,26.63
1985年,男,台北市,膽囊及肝外膽管,1.71,18,61.0,61.5,1.41
1985年,男,台北市,胰,4.22,45,64.04,62.0,3.51
1985年,男,台北市,後腹膜腔及腹膜,0.08,1,35.0,35.0,0.08
1985年,男,台北市,鼻腔、中耳及副鼻竇,0.99,12,53.58,60.5,0.94
1985年,男,台北市,喉,3.79,40,60.95,60.5,3.12
1985年,男,台北市,肺、支氣管及氣管,28.09,287,63.9,65.0,22.41
1985年,男,台北市,胸腺、心臟與中隔,0.28,3,31.67,40.0,0.23
1985年,男,台北市,骨、關節及關節軟骨,0.54,7,29.86,23.0,0.55
1985年,男,台北市,結締組織、皮下組織及其他軟組織,1.39,13,48.54,51.0,1.02
1985年,男,台北市,皮膚,4.65,48,58.88,61.5,3.75
1985年,男,台北市,男性乳房,0.09,1,67.0,67.0,0.08
1985年,男,台北市,攝護腺,6.27,53,68.83,70.0,4.14
1985年,男,台北市,睪丸,0.42,6,32.0,33.5,0.47
1985年,男,台北市,其他男性生殖器官,0.47,6,57.33,63.0,0.47
1985年,男,台北市,膀胱,7.68,74,64.24,66.5,5.78
1985年,男,台北市,腎,2.35,25,59.92,62.0,1.95
1985年,男,台北市,腎盂及其他泌尿系統,2.62,26,62.54,64.0,2.03
1985年,男,台北市,眼及淚腺,0.16,2,28.5,28.5,0.16
1985年,男,台北市,腦,2.42,29,34.9,36.0,2.26
1985年,男,台北市,甲狀腺,1.26,15,57.33,59.0,1.17
1985年,男,台北市,其他內分泌腺,0.18,2,65.0,65.0,0.16
1985年,男,台北市,其他分界不明的部位,0.52,3,67.0,62.0,0.23
1985年,男,台北市,不明原發部位,0.78,9,61.56,64.0,0.7
1985年,男,台北市,何杰金氏淋巴瘤,0.35,4,64.0,66.5,0.31
1985年,男,台北市,白血病,4.18,52,33.15,32.5,4.06
1985年,男,台北市,非何杰金氏淋巴瘤,1.9,21,51.19,57.0,1.64
1985年,男,台北市,漿細胞瘤,1.15,12,57.42,57.0,0.94
1985年,男,台北市,全癌症,214.53,2193,59.69,62.0,171.25
1985年,女,台北市,口腔、口咽及下咽,1.64,14,55.43,53.0,1.14
1985年,女,台北市,主唾液腺,0.13,1,68.0,68.0,0.08
1985年,女,台北市,鼻咽,3.59,37,48.47,44.0,3.02
1985年,女,台北市,食道,0.67,5,65.8,64.0,0.41
1985年,女,台北市,胃,31.66,264,59.73,61.0,21.51
1985年,女,台北市,小腸,0.26,2,65.5,65.5,0.16
1985年,女,台北市,結直腸,19.46,163,59.04,61.0,13.28
1985年,女,台北市,肝及肝內膽管,6.28,53,59.53,61.0,4.32
1985年,女,台北市,膽囊及肝外膽管,1.19,10,60.5,61.5,0.81
1985年,女,台北市,胰,2.37,19,65.11,68.0,1.55
1985年,女,台北市,後腹膜腔及腹膜,0.27,3,26.33,22.0,0.24
1985年,女,台北市,鼻腔、中耳及副鼻竇,0.74,6,64.33,71.5,0.49
1985年,女,台北市,喉,0.25,2,61.0,61.0,0.16
1985年,女,台北市,肺、支氣管及氣管,16.09,136,60.61,62.0,11.08
1985年,女,台北市,胸膜,0.23,2,57.5,57.5,0.16
1985年,女,台北市,胸腺、心臟與中隔,0.32,3,55.0,57.0,0.24
1985年,女,台北市,骨、關節及關節軟骨,0.43,5,32.0,25.0,0.41
1985年,女,台北市,結締組織、皮下組織及其他軟組織,0.88,9,49.22,48.0,0.73
1985年,女,台北市,皮膚,3.08,28,52.25,54.0,2.28
1985年,女,台北市,女性乳房,30.33,288,51.62,50.0,23.47
1985年,女,台北市,子宮,0.45,4,58.5,64.0,0.33
1985年,女,台北市,子宮頸,32.2,293,54.07,54.0,23.88
1985年,女,台北市,子宮體,4.65,42,54.88,54.0,3.42
1985年,女,台北市,卵巢、輸卵管及寬韌帶,5.1,48,50.42,52.5,3.91
1985年,女,台北市,其他女性生殖器官,0.58,6,46.33,41.5,0.49
1985年,女,台北市,膀胱,2.21,16,69.06,74.0,1.3
1985年,女,台北市,腎,1.25,10,62.1,64.0,0.81
1985年,女,台北市,腎盂及其他泌尿系統,1.5,11,67.45,70.0,0.9
1985年,女,台北市,眼及淚腺,0.15,2,19.5,19.5,0.16
1985年,女,台北市,腦,2.16,23,43.09,43.0,1.87
1985年,女,台北市,其他神經系統,0.39,4,46.25,44.5,0.33
1985年,女,台北市,甲狀腺,3.9,40,46.6,42.0,3.26
1985年,女,台北市,其他分界不明的部位,0.98,8,56.38,63.0,0.65
1985年,女,台北市,不明原發部位,1.23,10,60.9,62.5,0.81
1985年,女,台北市,何杰金氏淋巴瘤,0.23,2,57.0,57.0,0.16
1985年,女,台北市,白血病,2.39,28,33.64,31.0,2.28
1985年,女,台北市,非何杰金氏淋巴瘤,1.6,16,48.56,50.5,1.3
1985年,女,台北市,漿細胞瘤,0.47,4,60.25,61.0,0.33
1985年,女,台北市,全癌症,183.92,1643,55.08,57.0,133.9
1986年,男,台北市,口腔、口咽及下咽,5.78,59,57.92,60.0,4.5
1986年,男,台北市,主唾液腺,0.59,7,49.71,46.0,0.53
1986年,男,台北市,鼻咽,8.29,98,46.81,46.5,7.47
1986年,男,台北市,食道,7.21,75,62.27,63.0,5.72
1986年,男,台北市,胃,39.61,402,63.25,64.0,30.64
1986年,男,台北市,小腸,0.79,9,62.67,62.0,0.69
1986年,男,台北市,結直腸,24.08,250,61.71,63.0,19.06
1986年,男,台北市,肝及肝內膽管,27.92,309,57.07,59.0,23.55
1986年,男,台北市,膽囊及肝外膽管,2.49,23,64.43,63.0,1.75
1986年,男,台北市,胰,4.18,45,62.71,64.0,3.43
1986年,男,台北市,後腹膜腔及腹膜,0.41,5,22.0,18.0,0.38
1986年,男,台北市,鼻腔、中耳及副鼻竇,0.58,7,55.86,56.0,0.53
1986年,男,台北市,喉,2.87,31,64.52,64.0,2.36
1986年,男,台北市,肺、支氣管及氣管,31.7,334,64.8,65.0,25.46
1986年,男,台北市,胸膜,0.14,1,77.0,77.0,0.08
1986年,男,台北市,胸腺、心臟與中隔,0.51,5,51.6,68.0,0.38
1986年,男,台北市,骨、關節及關節軟骨,0.89,11,36.09,35.0,0.84
1986年,男,台北市,結締組織、皮下組織及其他軟組織,1.58,14,45.36,55.0,1.07
1986年,男,台北市,皮膚,3.53,38,57.29,60.5,2.9
1986年,男,台北市,男性乳房,0.17,2,66.0,66.0,0.15
1986年,男,台北市,攝護腺,6.97,66,68.36,70.0,5.03
1986年,男,台北市,睪丸,0.57,8,14.38,12.5,0.61
1986年,男,台北市,其他男性生殖器官,0.33,4,58.25,61.5,0.3
1986年,男,台北市,膀胱,7.35,74,63.07,64.0,5.64
1986年,男,台北市,腎,1.57,18,54.72,60.5,1.37
1986年,男,台北市,腎盂及其他泌尿系統,1.52,16,67.31,69.0,1.22
1986年,男,台北市,眼及淚腺,0.26,3,25.33,4.0,0.23
1986年,男,台北市,腦,2.41,29,38.76,39.0,2.21
1986年,男,台北市,其他神經系統,0.44,5,22.4,15.0,0.38
1986年,男,台北市,甲狀腺,0.49,6,49.33,49.5,0.46
1986年,男,台北市,其他內分泌腺,0.24,3,28.67,11.0,0.23
1986年,男,台北市,其他分界不明的部位,0.4,5,49.0,59.0,0.38
1986年,男,台北市,不明原發部位,2.58,27,60.3,62.0,2.06
1986年,男,台北市,何杰金氏淋巴瘤,0.51,6,33.0,33.0,0.46
1986年,男,台北市,白血病,4.52,54,39.2,41.0,4.12
1986年,男,台北市,非何杰金氏淋巴瘤,3.25,38,53.45,55.0,2.9
1986年,男,台北市,漿細胞瘤,1.49,16,64.56,66.0,1.22
1986年,男,台北市,全癌症,202.66,2146,59.2,62.0,163.58
1986年,女,台北市,口腔、口咽及下咽,1.19,11,58.64,63.0,0.87
1986年,女,台北市,主唾液腺,0.43,4,52.75,51.0,0.32
1986年,女,台北市,鼻咽,4.09,42,48.9,47.5,3.32
1986年,女,台北市,食道,0.79,7,61.57,66.0,0.55
1986年,女,台北市,胃,20.33,183,58.51,60.0,14.49
1986年,女,台北市,小腸,0.74,7,56.86,57.0,0.55
1986年,女,台北市,結直腸,20.82,186,59.4,60.5,14.72
1986年,女,台北市,肝及肝內膽管,6.34,55,62.44,62.0,4.35
1986年,女,台北市,膽囊及肝外膽管,1.79,14,68.79,68.0,1.11
1986年,女,台北市,胰,2.12,18,63.83,67.0,1.42
1986年,女,台北市,後腹膜腔及腹膜,0.42,5,46.0,38.0,0.4
1986年,女,台北市,消化器官其他分界不明部位,0.41,3,66.67,78.0,0.24
1986年,女,台北市,鼻腔、中耳及副鼻竇,0.76,6,61.17,60.5,0.47
1986年,女,台北市,喉,0.33,3,55.0,52.0,0.24
1986年,女,台北市,肺、支氣管及氣管,15.32,129,63.73,65.0,10.21
1986年,女,台北市,胸膜,0.11,1,64.0,64.0,0.08
1986年,女,台北市,胸腺、心臟與中隔,0.36,3,64.33,65.0,0.24
1986年,女,台北市,骨、關節及關節軟骨,0.34,5,30.6,28.0,0.4
1986年,女,台北市,結締組織、皮下組織及其他軟組織,0.75,9,35.56,34.0,0.71
1986年,女,台北市,皮膚,2.83,26,53.92,58.0,2.06
1986年,女,台北市,女性乳房,28.27,288,50.27,48.0,22.8
1986年,女,台北市,子宮,0.5,5,46.8,45.0,0.4
1986年,女,台北市,子宮頸,31.62,307,52.95,52.0,24.3
1986年,女,台北市,子宮體,3.78,37,52.27,51.0,2.93
1986年,女,台北市,卵巢、輸卵管及寬韌帶,4.87,50,49.74,49.5,3.96
1986年,女,台北市,其他女性生殖器官,0.76,8,50.38,50.0,0.63
1986年,女,台北市,膀胱,2.89,24,64.38,62.0,1.9
1986年,女,台北市,腎,1.23,12,50.0,55.0,0.95
1986年,女,台北市,腎盂及其他泌尿系統,1.19,10,64.8,64.5,0.79
1986年,女,台北市,腦,1.5,17,35.0,30.0,1.35
1986年,女,台北市,其他神經系統,0.08,1,11.0,11.0,0.08
1986年,女,台北市,甲狀腺,4.44,54,41.76,36.5,4.27
1986年,女,台北市,其他分界不明的部位,0.37,4,51.75,53.5,0.32
1986年,女,台北市,不明原發部位,1.68,14,64.79,68.0,1.11
1986年,女,台北市,何杰金氏淋巴瘤,0.18,2,39.0,39.0,0.16
1986年,女,台北市,白血病,4.1,45,35.71,30.0,3.56
1986年,女,台北市,非何杰金氏淋巴瘤,1.62,14,60.07,59.5,1.11
1986年,女,台北市,漿細胞瘤,0.89,8,58.38,60.0,0.63
1986年,女,台北市,全癌症,173.21,1645,54.35,56.0,130.22
1987年,男,台北市,口腔、口咽及下咽,6.1,70,54.67,56.0,5.22
1987年,男,台北市,主唾液腺,0.9,12,46.42,46.0,0.9
1987年,男,台北市,鼻咽,8.8,108,47.09,46.5,8.06
1987年,男,台北市,食道,6.66,73,63.23,64.0,5.45
1987年,男,台北市,胃,27.74,305,63.42,65.0,22.76
1987年,男,台北市,小腸,0.79,10,53.2,54.0,0.75
1987年,男,台北市,結直腸,24.79,277,61.97,64.0,20.67
1987年,男,台北市,肝及肝內膽管,34.39,395,57.19,58.0,29.47
1987年,男,台北市,膽囊及肝外膽管,2.11,25,63.28,64.0,1.87
1987年,男,台北市,胰,4.29,49,62.65,62.0,3.66
1987年,男,台北市,後腹膜腔及腹膜,0.37,4,64.25,63.5,0.3
1987年,男,台北市,消化器官其他分界不明部位,0.33,4,60.5,63.0,0.3
1987年,男,台北市,鼻腔、中耳及副鼻竇,0.53,7,54.57,61.0,0.52
1987年,男,台北市,喉,4.28,50,59.64,59.0,3.73
1987年,男,台北市,肺、支氣管及氣管,29.81,328,64.8,66.0,24.47
1987年,男,台北市,胸膜,0.15,2,34.0,34.0,0.15
1987年,男,台北市,胸腺、心臟與中隔,0.45,6,55.17,60.0,0.45
1987年,男,台北市,骨、關節及關節軟骨,1.06,14,29.14,21.0,1.04
1987年,男,台北市,結締組織、皮下組織及其他軟組織,1.56,20,41.25,39.5,1.49
1987年,男,台北市,皮膚,4.63,52,58.35,60.5,3.88
1987年,男,台北市,男性乳房,0.42,4,68.0,66.5,0.3
1987年,男,台北市,攝護腺,8.17,79,70.4,71.0,5.89
1987年,男,台北市,睪丸,0.43,6,24.17,24.5,0.45
1987年,男,台北市,其他男性生殖器官,0.7,8,63.5,67.5,0.6
1987年,男,台北市,膀胱,8.07,80,66.33,67.5,5.97
1987年,男,台北市,腎,2.71,31,56.45,58.0,2.31
1987年,男,台北市,腎盂及其他泌尿系統,2.66,29,62.75,66.5,2.16
1987年,男,台北市,眼及淚腺,0.41,5,25.4,1.0,0.37
1987年,男,台北市,腦,2.34,31,44.06,46.0,2.31
1987年,男,台北市,其他神經系統,0.13,2,44.0,44.0,0.15
1987年,男,台北市,甲狀腺,1.1,14,53.29,54.5,1.04
1987年,男,台北市,其他內分泌腺,0.06,1,31.0,31.0,0.07
1987年,男,台北市,其他分界不明的部位,1.04,12,57.33,59.0,0.9
1987年,男,台北市,不明原發部位,1.43,14,64.21,64.5,1.04
1987年,男,台北市,何杰金氏淋巴瘤,0.67,8,42.38,42.0,0.6
1987年,男,台北市,白血病,4.77,61,43.02,46.5,4.55
1987年,男,台北市,非何杰金氏淋巴瘤,2.34,26,54.31,56.0,1.94
1987年,男,台北市,漿細胞瘤,0.79,9,58.11,57.0,0.67
1987年,男,台北市,全癌症,201.54,2277,59.04,62.0,169.9
1987年,女,台北市,口腔、口咽及下咽,1.54,18,47.33,48.5,1.39
1987年,女,台北市,主唾液腺,0.26,4,35.25,33.5,0.31
1987年,女,台北市,鼻咽,3.85,45,46.14,45.0,3.47
1987年,女,台北市,食道,0.63,6,62.33,64.5,0.46
1987年,女,台北市,胃,11.91,115,59.14,63.0,8.87
1987年,女,台北市,小腸,1.0,10,56.6,55.0,0.77
1987年,女,台北市,結直腸,22.27,211,60.67,62.0,16.27
1987年,女,台北市,肝及肝內膽管,10.0,96,59.03,61.0,7.4
1987年,女,台北市,膽囊及肝外膽管,1.87,17,64.41,69.0,1.31
1987年,女,台北市,胰,3.15,30,60.33,64.0,2.31
1987年,女,台北市,後腹膜腔及腹膜,0.83,9,38.0,51.0,0.69
1987年,女,台北市,消化器官其他分界不明部位,0.32,3,66.33,64.0,0.23
1987年,女,台北市,鼻腔、中耳及副鼻竇,0.92,10,47.5,50.0,0.77
1987年,女,台北市,喉,0.44,4,58.25,55.0,0.31
1987年,女,台北市,肺、支氣管及氣管,17.92,161,63.37,64.0,12.41
1987年,女,台北市,胸腺、心臟與中隔,0.25,3,46.67,43.0,0.23
1987年,女,台北市,骨、關節及關節軟骨,0.59,7,41.43,31.0,0.54
1987年,女,台北市,結締組織、皮下組織及其他軟組織,0.87,10,43.1,42.5,0.77
1987年,女,台北市,皮膚,2.96,29,55.76,59.0,2.24
1987年,女,台北市,女性乳房,28.86,314,50.4,50.0,24.21
1987年,女,台北市,子宮,0.37,4,52.0,56.0,0.31
1987年,女,台北市,子宮頸,31.74,332,53.65,55.0,25.6
1987年,女,台北市,子宮體,3.5,36,51.81,51.5,2.78
1987年,女,台北市,卵巢、輸卵管及寬韌帶,6.33,69,48.96,49.0,5.32
1987年,女,台北市,其他女性生殖器官,0.93,9,56.44,57.0,0.69
1987年,女,台北市,膀胱,2.58,23,64.96,65.0,1.77
1987年,女,台北市,腎,1.43,14,55.14,58.5,1.08
1987年,女,台北市,腎盂及其他泌尿系統,0.95,9,61.11,62.0,0.69
1987年,女,台北市,眼及淚腺,0.32,4,8.75,1.5,0.31
1987年,女,台北市,腦,2.38,29,36.07,34.0,2.24
1987年,女,台北市,其他神經系統,0.2,3,20.0,28.0,0.23
1987年,女,台北市,甲狀腺,3.63,46,40.09,36.5,3.55
1987年,女,台北市,其他內分泌腺,0.28,3,45.33,55.0,0.23
1987年,女,台北市,其他分界不明的部位,0.37,4,41.75,48.0,0.31
1987年,女,台北市,不明原發部位,1.58,16,55.13,58.0,1.23
1987年,女,台北市,何杰金氏淋巴瘤,0.25,3,37.33,28.0,0.23
1987年,女,台北市,白血病,3.63,41,39.85,40.0,3.16
1987年,女,台北市,非何杰金氏淋巴瘤,2.45,25,51.88,59.0,1.93
1987年,女,台北市,漿細胞瘤,0.21,2,60.0,60.0,0.15
1987年,女,台北市,全癌症,176.35,1803,53.91,56.0,139.03
1988年,男,台北市,口腔、口咽及下咽,9.04,106,55.15,55.5,7.79
1988年,男,台北市,主唾液腺,0.73,9,53.78,57.0,0.66
1988年,男,台北市,鼻咽,6.98,89,48.31,48.0,6.54
1988年,男,台北市,食道,7.03,78,63.78,65.0,5.74
1988年,男,台北市,胃,26.69,295,64.07,65.0,21.69
1988年,男,台北市,小腸,0.47,6,59.67,64.0,0.44
1988年,男,台北市,結直腸,22.37,256,62.39,64.0,18.82
1988年,男,台北市,肝及肝內膽管,33.34,395,56.65,59.0,29.05
1988年,男,台北市,膽囊及肝外膽管,1.97,23,65.17,66.0,1.69
1988年,男,台北市,胰,4.05,48,61.79,65.0,3.53
1988年,男,台北市,後腹膜腔及腹膜,0.35,4,52.75,63.5,0.29
1988年,男,台北市,鼻腔、中耳及副鼻竇,1.35,15,59.73,60.0,1.1
1988年,男,台北市,喉,2.85,35,64.4,65.0,2.57
1988年,男,台北市,肺、支氣管及氣管,29.86,348,64.33,65.0,25.59
1988年,男,台北市,胸膜,0.19,2,61.5,61.5,0.15
1988年,男,台北市,胸腺、心臟與中隔,0.62,8,41.13,41.0,0.59
1988年,男,台北市,骨、關節及關節軟骨,1.25,17,36.76,25.0,1.25
1988年,男,台北市,結締組織、皮下組織及其他軟組織,1.32,16,41.63,32.0,1.18
1988年,男,台北市,皮膚,3.62,43,58.56,63.0,3.16
1988年,男,台北市,男性乳房,0.1,1,51.0,51.0,0.07
1988年,男,台北市,攝護腺,7.74,73,71.16,73.0,5.37
1988年,男,台北市,睪丸,0.69,9,18.33,21.0,0.66
1988年,男,台北市,其他男性生殖器官,0.69,9,45.0,46.0,0.66
1988年,男,台北市,膀胱,7.2,81,66.28,68.0,5.96
1988年,男,台北市,腎,2.15,25,54.72,60.0,1.84
1988年,男,台北市,腎盂及其他泌尿系統,1.65,20,58.5,63.5,1.47
1988年,男,台北市,眼及淚腺,0.24,3,40.0,56.0,0.22
1988年,男,台北市,腦,2.65,35,28.74,23.0,2.57
1988年,男,台北市,其他神經系統,0.07,1,63.0,63.0,0.07
1988年,男,台北市,甲狀腺,1.39,17,47.41,51.0,1.25
1988年,男,台北市,其他內分泌腺,0.29,4,27.25,21.0,0.29
1988年,男,台北市,其他分界不明的部位,0.24,3,44.0,46.0,0.22
1988年,男,台北市,不明原發部位,1.6,18,55.67,56.0,1.32
1988年,男,台北市,何杰金氏淋巴瘤,0.23,3,52.67,63.0,0.22
1988年,男,台北市,白血病,4.67,58,44.6,46.0,4.26
1988年,男,台北市,非何杰金氏淋巴瘤,3.03,34,57.97,62.0,2.5
1988年,男,台北市,漿細胞瘤,1.01,11,62.36,63.0,0.81
1988年,男,台北市,全癌症,193.45,2242,59.08,63.0,164.86
